GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
51118,UTP11,-0.228,1.521
9443,MED7,-0.232,1.396
56052,ALG1,-0.232,1.345
51692,CPSF3,-0.238,1.517
9946,CRYZL1,-0.241,1.315
10109,ARPC2,-0.253,1.374
3298,HSF2,-0.257,1.35
445571,ZNG1C,-0.257,1.396
57136,APMAP,-0.257,1.513
57002,YAE1,-0.26,1.339
10552,ARPC1A,-0.26,1.427
10949,HNRNPA0,-0.262,1.594
11137,PWP1,-0.263,1.555
116143,DNAAF10,-0.265,1.322
5571,PRKAG1,-0.265,1.32
84342,COG8,-0.267,1.353
10480,EIF3M,-0.268,1.4
28977,MRPL42,-0.269,1.334
5162,PDHB,-0.273,1.803
441194,PMS2CL,-0.275,1.386
28976,ACAD9,-0.276,1.414
124411,KRBOX5,-0.276,1.455
5073,PARN,-0.278,1.517
26984,SEC22A,-0.279,1.396
124936,CYB5D2,-0.279,1.32
79770,TXNDC15,-0.282,1.509
220869,ZNG1E,-0.282,1.562
51126,NAA20,-0.284,1.717
131118,DNAJC19,-0.285,1.393
9175,MAP3K13,-0.287,2.036
10478,SLC25A17,-0.289,1.655
57231,SNX14,-0.29,1.58
23595,ORC3,-0.29,1.34
8872,CDC123,-0.29,1.862
387522,PEDS1-UBE2V1,-0.29,1.663
8487,GEMIN2,-0.291,1.412
830,CAPZA2,-0.292,1.346
1072,CFL1,-0.293,1.305
56943,ENY2,-0.295,1.572
51699,VPS29,-0.296,1.648
10213,PSMD14,-0.297,1.309
22820,COPG1,-0.299,1.359
644019,ZNG1F,-0.299,1.379
5917,RARS1,-0.302,1.543
80219,COQ10B,-0.303,1.429
84549,MAK16,-0.303,1.454
8766,RAB11A,-0.303,1.409
79568,MAIP1,-0.304,1.32
84896,ATAD1,-0.304,1.594
5902,RANBP1,-0.304,1.367
5440,POLR2K,-0.305,1.348
23673,STX12,-0.307,2.132
3838,KPNA2,-0.307,1.384
10131,TRAP1,-0.308,1.322
52,ACP1,-0.311,1.419
64983,MRPL32,-0.312,1.501
23256,SCFD1,-0.312,1.739
28985,MCTS1,-0.312,1.635
10657,KHDRBS1,-0.313,1.724
80349,SKIC8,-0.313,1.406
10621,POLR3F,-0.314,1.485
128387,TATDN3,-0.315,1.605
8533,COPS3,-0.318,1.501
286480,UBE2E4P,-0.319,1.565
10016,PDCD6,-0.321,2.13
81573,ANKRD13C,-0.325,1.4
115253422,DUS4L-BCAP29,-0.326,1.371
83877,TM2D2,-0.327,1.34
57149,LYRM1,-0.329,1.315
10671,DCTN6,-0.33,1.316
10477,UBE2E3,-0.331,1.791
134637,ADAT2,-0.332,1.335
5521,PPP2R2B,-0.334,1.421
64755,RUSF1,-0.336,1.307
5805,PTS,-0.337,1.41
5682,PSMA1,-0.338,1.706
7335,UBE2V1,-0.338,1.594
54928,BPNT2,-0.339,1.501
139341,FUNDC1,-0.339,1.396
60,ACTB,-0.34,1.526
51669,SARAF,-0.341,1.706
23590,PDSS1,-0.341,1.314
100532726,NDUFC2-KCTD14,-0.341,1.594
27247,NFU1,-0.342,1.503
84317,CCDC115,-0.343,1.766
4719,NDUFS1,-0.343,1.308
79145,CHCHD7,-0.343,1.659
80145,THOC7,-0.344,1.47
10289,EIF1B,-0.345,1.361
55269,PSPC1,-0.345,1.439
152579,SCFD2,-0.346,1.327
84246,MED10,-0.346,1.785
2517,FUCA1,-0.347,1.409
22845,DOLK,-0.349,1.32
348926,FAM86EP,-0.351,1.327
998,CDC42,-0.352,2.439
23788,MTCH2,-0.352,2.127
5250,SLC25A3,-0.354,1.874
79717,PPCS,-0.355,1.959
11062,DUS4L,-0.355,1.547
91408,BTF3L4,-0.356,1.418
84084,RAB6C,-0.356,1.503
403313,PLPP6,-0.356,1.352
400,ARL1,-0.356,1.706
8293,SERF1A,-0.358,1.471
64149,C17orf75,-0.358,1.307
805,CALM2,-0.359,1.491
28512,NKIRAS1,-0.359,1.363
744,MPPED2,-0.359,1.333
8674,VAMP4,-0.36,1.409
201895,SMIM14,-0.36,1.528
57037,ANKMY2,-0.361,1.44
55973,BCAP29,-0.361,1.453
56260,C8orf44,-0.362,1.766
1678,TIMM8A,-0.362,1.542
51253,MRPL37,-0.363,1.31
55041,PLEKHB2,-0.364,1.908
63932,STEEP1,-0.364,2.256
25874,MPC2,-0.365,1.491
150786,RAB6D,-0.365,1.577
10969,EBNA1BP2,-0.366,1.427
8634,RTCA,-0.366,1.699
10243,GPHN,-0.366,1.417
101928527,PIGBOS1,-0.366,1.644
132321,C4orf33,-0.367,1.327
81853,TMEM14B,-0.367,1.908
728492,SERF1B,-0.368,1.555
537,ATP6AP1,-0.368,1.363
515,ATP5PB,-0.369,1.861
506,ATP5F1B,-0.369,1.315
664,BNIP3,-0.371,1.49
23157,SEPTIN6,-0.374,1.331
7385,UQCRC2,-0.376,1.567
10352,WARS2,-0.377,1.742
100534612,C1QTNF3-AMACR,-0.377,1.689
894,CCND2,-0.377,1.471
51031,GLOD4,-0.38,1.846
6524,SLC5A2,-0.381,1.41
153527,ZMAT2,-0.383,1.394
22950,SLC4A1AP,-0.384,1.502
152992,TRMT44,-0.384,1.485
729156,GTF2IRD1P1,-0.384,1.432
26061,HACL1,-0.385,1.548
8623,ASMTL,-0.385,1.417
54458,PRR13,-0.386,1.594
5223,PGAM1,-0.387,1.594
10138,YAF2,-0.388,1.813
55056,GABPB1-IT1,-0.388,1.512
6500,SKP1,-0.389,2.116
56954,NIT2,-0.39,1.697
26258,BLOC1S6,-0.39,1.501
5690,PSMB2,-0.392,1.96
10989,IMMT,-0.393,1.932
285521,COX18,-0.394,2.352
79719,AAGAB,-0.394,1.307
5515,PPP2CA,-0.395,1.334
441531,PGAM4,-0.395,1.562
892,CCNC,-0.396,1.396
54014,BRWD1,-0.396,1.491
60561,RINT1,-0.397,1.355
5684,PSMA3,-0.397,2.432
7881,KCNAB1,-0.398,1.739
404672,GTF2H5,-0.398,1.908
25875,LETMD1,-0.398,1.663
51422,PRKAG2,-0.4,1.521
51649,MRPS23,-0.401,1.598
5641,LGMN,-0.402,1.486
498,ATP5F1A,-0.402,1.542
60487,TRMT11,-0.404,1.421
10302,SNAPC5,-0.404,1.49
6119,RPA3,-0.405,1.663
7846,TUBA1A,-0.405,1.635
81615,TMEM163,-0.406,1.325
51021,MRPS16,-0.406,2.428
8799,PEX11B,-0.407,1.32
2271,FH,-0.41,1.959
3422,IDI1,-0.411,1.55
220906,WAC-AS1,-0.412,1.663
100499177,THAP9-AS1,-0.413,1.333
10325,RRAGB,-0.414,1.391
51263,MRPL30,-0.415,2.034
124817,CNTD1,-0.415,1.706
10038,PARP2,-0.416,1.644
4692,NDN,-0.416,1.504
123016,TTC8,-0.418,1.528
84790,TUBA1C,-0.419,1.456
71,ACTG1,-0.419,1.812
1977,EIF4E,-0.424,1.813
135154,SDHAF4,-0.425,1.662
1738,DLD,-0.425,1.515
11034,DSTN,-0.425,1.372
64769,MEAF6,-0.431,1.813
5686,PSMA5,-0.432,2.127
27339,PRPF19,-0.432,1.315
29070,CCDC113,-0.432,1.539
25847,ANAPC13,-0.433,1.962
26268,FBXO9,-0.433,1.648
11261,CHP1,-0.433,1.726
100130771,EFCAB10,-0.438,1.829
50813,COPS7A,-0.44,1.715
83640,RAMAC,-0.441,1.964
9688,NUP93,-0.441,1.787
51377,UCHL5,-0.442,1.417
10069,RWDD2B,-0.445,1.32
25814,ATXN10,-0.448,1.68
279,AMY2A,-0.449,1.476
23204,ARL6IP1,-0.449,1.561
57489,ODF2L,-0.45,1.421
100129583,FAM47E,-0.45,1.58
902,CCNH,-0.451,1.877
220107,DLEU7,-0.451,1.307
9500,MAGED1,-0.451,1.421
4173,MCM4,-0.452,1.396
509,ATP5F1C,-0.452,1.991
261726,TIPRL,-0.453,1.412
1160,CKMT2,-0.453,1.484
100505681,NAPA-AS1,-0.453,1.614
27069,GHITM,-0.455,1.742
146923,RUNDC1,-0.455,1.4
119032,BORCS7,-0.456,1.748
9868,TOMM70,-0.459,1.417
767558,LUZP6,-0.46,1.352
136319,MTPN,-0.46,1.352
107984126,LOC107984126,-0.46,1.32
83941,TM2D1,-0.461,1.744
10056,FARSB,-0.461,1.417
282991,BLOC1S2,-0.461,1.971
100302640,LINC00882,-0.462,1.4
157285,PRAG1,-0.462,1.668
8774,NAPG,-0.462,1.327
51138,COPS4,-0.463,1.417
2774,GNAL,-0.465,1.311
27248,ERLEC1,-0.466,1.555
7102,TSPAN7,-0.466,1.337
348654,GEN1,-0.467,1.706
348801,LNP1,-0.468,1.327
7334,UBE2N,-0.468,1.853
2941,GSTA4,-0.469,1.718
51571,CYRIB,-0.47,1.555
586,BCAT1,-0.47,1.303
5203,PFDN4,-0.47,1.58
10440,TIMM17A,-0.471,1.53
253558,LCLAT1,-0.472,1.862
100268168,RPL26L1-AS1,-0.472,1.485
9577,BABAM2,-0.474,1.724
7905,REEP5,-0.474,1.356
54902,TTC19,-0.474,1.846
80213,TM2D3,-0.475,1.722
100996746,SPDYE11,-0.477,1.504
10463,SLC30A9,-0.479,1.724
9522,SCAMP1,-0.48,1.32
54495,TMX3,-0.481,1.392
54205,CYCS,-0.482,1.57
28972,SPCS1,-0.483,2.842
51239,ANKRD39,-0.484,1.353
23322,RPGRIP1L,-0.484,1.394
7416,VDAC1,-0.485,1.661
4718,NDUFC2,-0.485,1.555
641776,SPDYE14,-0.486,1.313
9114,ATP6V0D1,-0.486,1.374
54940,OCIAD1,-0.487,2.352
105378083,TAGAP-AS1,-0.487,1.599
653113,FAM86FP,-0.487,1.501
105180390,SPDYE13,-0.489,1.383
10857,PGRMC1,-0.489,1.595
4191,MDH2,-0.49,1.649
10190,TXNDC9,-0.493,1.742
25994,HIGD1A,-0.493,1.908
4711,NDUFB5,-0.493,1.971
728524,SPDYE8,-0.493,1.476
56267,KYAT3,-0.494,1.501
92675,DTD1,-0.494,1.908
56255,TMX4,-0.496,1.327
64839,FBXL17,-0.497,1.409
81929,SEH1L,-0.498,1.614
84251,SGIP1,-0.499,1.606
100506325,SP2-AS1,-0.503,1.523
64946,CENPH,-0.504,1.636
57213,SPRYD7,-0.504,2.127
84319,CMSS1,-0.505,1.754
105180391,SPDYE15,-0.505,1.327
53,ACP2,-0.505,1.427
2177,FANCD2,-0.506,1.635
23600,AMACR,-0.506,1.788
56271,BEX4,-0.506,1.744
51102,MECR,-0.507,1.723
9521,EEF1E1,-0.507,1.846
200728,TMEM17,-0.508,1.522
29789,OLA1,-0.508,1.539
114791,TUBGCP5,-0.51,1.468
100192204,PPIAP30,-0.511,1.898
28978,TMEM14A,-0.513,1.477
107987141,CAMSAP1-DT,-0.514,1.317
10438,C1D,-0.515,1.934
153743,PPP1R2B,-0.515,1.32
80006,TRAPPC13,-0.517,1.662
518,ATP5MC3,-0.518,1.813
54839,LRRC49,-0.518,1.523
120379,PIH1D2,-0.519,1.507
2937,GSS,-0.519,1.766
441272,SPDYE3,-0.52,1.51
105378862,LOC105378862,-0.521,1.419
55907,CMAS,-0.521,1.461
7443,VRK1,-0.523,1.813
55335,NIPSNAP3B,-0.524,1.557
729082,OIP5-AS1,-0.524,1.319
57464,STRIP2,-0.527,1.512
283807,FBXL22,-0.527,1.636
284161,GDPD1,-0.527,1.476
100507599,TFIP11-DT,-0.527,1.666
529,ATP6V1E1,-0.528,1.642
375567,VWC2,-0.529,1.395
64860,ARMCX5,-0.529,1.437
64754,SMYD3,-0.53,1.724
11146,GLMN,-0.532,1.319
27018,BEX3,-0.532,1.432
203523,ZNF449,-0.532,1.92
28969,BZW2,-0.534,1.439
29902,FAM216A,-0.535,1.512
23305,ACSL6,-0.537,1.39
100131454,DBIL5P,-0.537,1.567
6880,TAF9,-0.538,1.788
22920,KIFAP3,-0.539,1.408
84981,MIR22HG,-0.541,1.405
5862,RAB2A,-0.543,1.813
56261,GPCPD1,-0.543,1.355
100288181,LNCOC1,-0.544,1.383
30010,NXPH1,-0.545,1.406
64420,SUSD1,-0.546,1.412
130752,MDH1B,-0.548,1.416
54742,LY6K,-0.551,1.432
219749,ZNF25,-0.551,1.411
91057,CCDC34,-0.551,1.307
105372768,LOC105372768,-0.552,1.83
55322,C5orf22,-0.553,1.862
5066,PAM,-0.553,1.58
11130,ZWINT,-0.553,1.525
7529,YWHAB,-0.553,1.666
375611,SLC26A5,-0.555,1.649
54602,NDFIP2,-0.557,1.34
80762,NDFIP1,-0.563,1.655
729920,CRPPA,-0.565,1.65
51606,ATP6V1H,-0.565,1.307
81691,REXO5,-0.567,1.706
340543,TCEAL5,-0.569,1.395
10159,ATP6AP2,-0.57,1.61
442421,PTGER4P2-CDK2AP2P2,-0.573,1.594
2790,GNG10,-0.573,2.154
55860,ACTR10,-0.575,2.256
84303,CHCHD6,-0.576,1.419
84789,MGC2889,-0.577,1.315
9804,TOMM20,-0.578,1.715
55055,ZWILCH,-0.578,1.829
163126,EID2,-0.58,1.419
51626,DYNC2LI1,-0.581,2.428
8624,PSMG1,-0.584,2.068
526,ATP6V1B2,-0.587,1.317
552891,DNAJC25-GNG10,-0.587,2.17
729852,UMAD1,-0.59,1.471
53340,SPA17,-0.59,2.045
51026,GOLT1B,-0.593,1.69
100652748,TIMM23B,-0.595,1.565
56849,TCEAL7,-0.597,1.9
107985522,LOC107985522,-0.598,1.414
100130311,C17orf107,-0.598,1.321
122553,TRAPPC6B,-0.599,1.65
814,CAMK4,-0.601,1.31
9837,GINS1,-0.601,1.959
440145,MZT1,-0.603,1.504
122970,ACOT4,-0.605,1.687
105375259,LOC105375259,-0.606,1.55
1033,CDKN3,-0.606,1.644
10286,BCAS2,-0.608,2.276
4645,MYO5B,-0.609,1.391
142940,TRUB1,-0.61,1.311
375444,C5orf34,-0.611,1.333
646300,COL6A4P2,-0.613,1.397
92255,LMBRD2,-0.614,1.313
58527,ABRACL,-0.615,1.829
93164,HTR7P1,-0.615,1.428
5110,PCMT1,-0.616,1.635
23507,LRRC8B,-0.618,1.461
25977,NECAP1,-0.618,1.455
54810,GIPC2,-0.619,1.485
100507634,LOC100507634,-0.62,1.32
7280,TUBB2A,-0.621,1.68
345757,FAM174A,-0.622,2.194
645784,ANKRD36BP2,-0.627,1.344
7257,TSNAX,-0.631,1.982
10381,TUBB3,-0.634,1.37
5935,RBM3,-0.634,1.812
286205,SCAI,-0.636,1.479
113130,CDCA5,-0.641,1.443
7336,UBE2V2,-0.645,1.829
414778,HCG17,-0.646,1.564
23710,GABARAPL1,-0.646,1.659
152789,JAKMIP1,-0.65,1.444
7534,YWHAZ,-0.651,1.838
81706,PPP1R14C,-0.652,1.452
145837,DRAIC,-0.652,1.428
107984698,LOC107984698,-0.653,1.383
808,CALM3,-0.653,1.427
9737,GPRASP1,-0.653,1.362
5534,PPP3R1,-0.655,1.363
84707,BEX2,-0.656,1.437
134510,UBLCP1,-0.658,1.818
653308,ASAH2B,-0.658,1.345
64112,MOAP1,-0.659,1.355
729375,FAM86HP,-0.66,1.542
3157,HMGCS1,-0.661,1.455
5570,PKIB,-0.661,1.846
115908,CTHRC1,-0.661,1.58
283487,PRECSIT,-0.661,1.68
101929552,LOC101929552,-0.664,1.525
100134229,KDM7A-DT,-0.665,1.997
79801,SHCBP1,-0.671,1.687
55312,RFK,-0.672,1.419
2805,GOT1,-0.672,1.43
57718,PPP4R4,-0.672,1.363
84944,MAEL,-0.676,1.476
55847,CISD1,-0.677,1.755
126068,ZNF441,-0.681,1.633
378884,NHLRC1,-0.688,1.427
8382,NME5,-0.689,1.937
10231,RCAN2,-0.691,1.421
4085,MAD2L1,-0.692,1.663
6519,SLC3A1,-0.693,1.372
10923,SUB1,-0.693,2.428
7991,TUSC3,-0.693,1.52
4698,NDUFA5,-0.695,2.127
137902,PXDNL,-0.698,1.431
285220,EPHA6,-0.699,1.32
100288846,MIA2-AS1,-0.703,1.744
79750,ZNF385D,-0.704,1.724
6894,TARBP1,-0.706,1.766
10370,CITED2,-0.706,1.754
105375981,LOC105375981,-0.709,1.405
78991,PCYOX1L,-0.714,1.391
140733,MACROD2,-0.714,1.364
1325,CORT,-0.718,1.476
54332,GDAP1,-0.718,1.485
10447,FAM3C,-0.72,1.34
100129973,CERNA1,-0.72,1.742
729338,CETN4P,-0.721,1.529
5217,PFN2,-0.726,1.95
26802,SNORD47,-0.727,1.374
168667,BMPER,-0.727,1.333
5800,PTPRO,-0.728,1.318
390535,GOLGA8EP,-0.728,1.481
1012,CDH13,-0.729,1.406
201229,LYRM9,-0.731,1.666
127845,GOLT1A,-0.733,1.343
105373230,LOC105373230,-0.733,1.542
105374029,LOC105374029,-0.733,1.744
5530,PPP3CA,-0.733,1.307
534,ATP6V1G2,-0.733,1.672
7259,TSPYL1,-0.733,1.516
79827,CLMP,-0.733,1.364
653437,AQP12B,-0.734,1.405
51744,CD244,-0.735,1.492
114928,GPRASP2,-0.735,1.421
5504,PPP1R2,-0.736,2.432
114118903,ARHGAP11A-SCG5,-0.736,1.51
4591,TRIM37,-0.74,1.515
60592,SCOC,-0.742,1.812
143162,FRMPD2,-0.743,1.594
283177,B3GAT1-DT,-0.746,1.626
6447,SCG5,-0.749,1.501
55617,TASP1,-0.751,1.722
112268471,LOC112268471,-0.752,1.408
56675,NRIP3,-0.752,1.305
201780,SLC10A4,-0.756,1.363
2258,FGF13,-0.756,1.32
100505797,NETO1-DT,-0.759,1.829
9369,NRXN3,-0.763,1.34
283768,GOLGA8G,-0.763,1.468
6990,DYNLT3,-0.763,1.728
27020,NPTN,-0.765,1.47
7432,VIP,-0.772,1.594
105378756,FGGY-DT,-0.773,1.333
100126784,NAV2-AS6,-0.776,1.766
54847,SIDT1,-0.778,1.339
101929705,SCIRT,-0.786,1.4
9746,CLSTN3,-0.788,1.32
84517,ACTRT3,-0.791,2.116
112267901,LOC112267901,-0.791,1.454
284485,RIIAD1,-0.793,1.327
54331,GNG2,-0.793,1.429
5058,PAK1,-0.797,1.32
10733,PLK4,-0.798,1.561
145773,FAM81A,-0.8,1.568
79873,NUDT18,-0.803,1.648
100132249,LOC100132249,-0.803,1.812
27065,NSG1,-0.807,1.421
10740,RFPL1S,-0.808,1.325
4190,MDH1,-0.809,1.697
2596,GAP43,-0.809,1.502
64168,NECAB1,-0.82,1.408
23236,PLCB1,-0.821,1.375
83988,NCALD,-0.822,1.427
79589,RNF128,-0.822,1.659
284561,LINC02806,-0.828,1.39
100874296,KCNH1-IT1,-0.833,1.548
114818278,ZNF71-SMIM17,-0.84,1.521
6000,RGS7,-0.841,1.345
645158,CBX3P2,-0.841,1.345
54511,HMGCLL1,-0.846,1.68
284424,MIR7-3HG,-0.846,1.441
92235,STYXL2,-0.85,1.596
154790,CLEC2L,-0.85,1.324
81832,NETO1,-0.85,1.568
157574,FBXO16,-0.851,2.061
100127983,C8orf88,-0.851,1.345
84226,C2orf16,-0.854,2.352
126272,EID2B,-0.855,2.842
266722,HS6ST3,-0.857,1.437
30811,HUNK,-0.861,1.676
442117,GALNTL6,-0.865,1.687
9331,B4GALT6,-0.867,1.707
107985303,LOC107985303,-0.867,1.715
387856,CCDC184,-0.871,1.417
105374898,LOC105374898,-0.874,1.819
2257,FGF12,-0.877,1.555
213,ALB,-0.877,1.367
29887,SNX10,-0.877,1.38
408263,FNDC9,-0.878,1.468
101928555,LINC01537,-0.885,1.718
100499227,USP2-AS1,-0.891,1.594
1122,CHML,-0.894,1.706
441052,LOC441052,-0.909,1.524
105373805,STAT4-AS1,-0.91,1.307
100507420,LINC01605,-0.916,1.742
4353,MPO,-0.921,1.792
5746,PTH2R,-0.922,1.601
164781,DAW1,-0.922,1.334
379,ARL4D,-0.924,1.626
129804,FBLN7,-0.925,1.82
51299,NRN1,-0.925,2.17
1846,DUSP4,-0.925,1.638
1016,CDH18,-0.929,1.32
100506965,PWAR6,-0.932,1.333
147670,SMIM17,-0.933,1.547
1745,DLX1,-0.936,1.58
956,ENTPD3,-0.936,1.455
10486,CAP2,-0.939,1.41
2834,PRLHR,-0.942,1.421
2847,MCHR1,-0.943,1.313
27098,CLUL1,-0.947,1.766
100287387,LOC100287387,-0.952,1.461
5865,RAB3B,-0.958,1.32
11187,PKP3,-0.966,1.417
338758,ATP2B1-AS1,-0.973,2.352
728798,FRMPD2B,-0.974,2.132
56341,PRMT8,-0.974,1.544
80309,SPHKAP,-0.976,1.34
102724943,LOC102724943,-0.986,1.344
2557,GABRA4,-0.987,1.307
6616,SNAP25,-0.991,1.32
6775,STAT4,-0.993,1.502
105372522,LOC105372522,-0.993,1.374
25859,PART1,-1.004,1.448
22895,RPH3A,-1.005,2.079
3251,HPRT1,-1.008,1.717
105370939,LOC105370939,-1.009,1.348
107984317,LOC107984317,-1.012,1.748
1404,HAPLN1,-1.016,2.352
340542,BEX5,-1.018,1.812
56244,BTNL2,-1.02,2.276
100506274,LOC100506274,-1.024,1.742
100507206,LINC00943,-1.025,1.65
7857,SCG2,-1.027,1.92
10693,CCT6B,-1.032,1.81
128239,IQGAP3,-1.04,1.956
10417,SPON2,-1.043,2.136
1007,CDH9,-1.044,1.399
6092,ROBO2,-1.048,1.402
266812,NAP1L5,-1.048,1.934
6588,SLN,-1.049,1.663
100131390,SP9,-1.058,1.525
170261,ZCCHC12,-1.06,1.717
401442,LOC401442,-1.062,1.488
5999,RGS4,-1.069,1.502
104326188,LINC01202,-1.069,1.307
401097,C3orf80,-1.074,1.605
1428,CRYM,-1.079,1.374
654790,PCP4L1,-1.081,1.804
6869,TACR1,-1.091,1.65
1958,EGR1,-1.095,2.352
441376,AARD,-1.097,1.877
627,BDNF,-1.101,1.932
2554,GABRA1,-1.11,1.337
3479,IGF1,-1.11,2.842
105374966,LOC105374966,-1.112,1.78
105377922,LINC02836,-1.119,1.744
53942,CNTN5,-1.13,1.477
105376360,LOC105376360,-1.134,1.555
63974,NEUROD6,-1.136,1.434
5100,PCDH8,-1.14,1.35
9607,CARTPT,-1.154,1.408
165679,SPTSSB,-1.156,1.724
146,ADRA1D,-1.167,2.139
84570,COL25A1,-1.169,1.862
5475,PPEF1,-1.169,2.17
105372026,LOC105372026,-1.173,1.594
400591,TMEM132E-DT,-1.189,1.938
100128554,LINC02347,-1.192,1.766
107987008,LOC107987008,-1.201,1.874
140689,CBLN4,-1.213,1.41
8988,HSPB3,-1.217,1.902
728084,LINC02458,-1.217,1.882
345079,SOWAHB,-1.221,1.687
1114,CHGB,-1.232,1.626
3852,KRT5,-1.244,1.373
400120,SERTM1,-1.247,1.5
105377921,LOC105377921,-1.264,1.953
105376548,LOC105376548,-1.286,1.635
1960,EGR3,-1.287,1.724
5368,PNOC,-1.287,1.812
105374527,LOC105374527,-1.304,1.525
11249,NXPH2,-1.336,1.557
2571,GAD1,-1.356,2.842
105376043,LOC105376043,-1.36,2.276
7425,VGF,-1.372,1.766
221416,LINC03040,-1.383,2.102
107986924,LOC107986924,-1.414,1.951
105379452,LOC105379452,-1.418,2.352
4142,MAS1,-1.439,1.693
140679,SLC32A1,-1.475,2.256
6750,SST,-1.506,1.985
613212,CTXN3,-1.509,2.159
5122,PCSK1,-1.531,1.595
22987,SV2C,-1.538,1.58
2572,GAD2,-1.54,2.17
57369,GJD2,-1.542,2.276
116,ADCYAP1,-1.542,2.403
161931,ADAD2,-1.605,2.139
2322,FLT3,-1.654,2.352
6863,TAC1,-1.902,2.715
1392,CRH,-2.141,2.428
266743,NPAS4,-2.179,2.842
5179,PENK,-2.18,2.601